序号,姓名,所属公司,现任基金,累计从业时间,现任基金资产总规模,现任基金最佳回报
6,牛志冬,富国基金,"富国中证医药主题指数增强C,富国中证新能源汽车指数(LOF)C,富国中证移动互联网指数(LOF),富国中证新能源汽车指数(LOF)A,富国中证医药主题指数增强A,富国中证娱乐主题指数增强型,富国中证高端制造指数增强型,富国中证军工龙头ETF,富国中证全指建筑材料ETF",2346,161.77,114
7,区德成,方正富邦基金,"方正富邦惠利纯债A,方正富邦惠利纯债C,方正富邦睿利纯债A,方正富邦睿利纯债C,方正富邦丰利债券A,方正富邦丰利债券C,方正富邦富利纯债A,方正富邦富利纯债C,方正富邦恒利纯债A,方正富邦恒利纯债C,方正富邦稳裕纯债A,方正富邦稳裕纯债C",268,26.5,3.15
8,欧阳凯,工银瑞信基金,"工银瑞信双利债券B,工银瑞信双利债券A",4608,237.2,120.72
9,彭成军,景顺长城基金,"景顺长城四季金利债券A,景顺长城四季金利债券C,景顺长城鑫月薪定期支付债券,景顺长城景泰盈利纯债,景顺长城景泰纯利债券,景顺长城中短债A,景顺长城中短债C,景顺长城景泰裕利纯债债券,景顺长城安鑫回报混合A,景顺长城安鑫回报混合C,景顺长城景泰益利纯债债券,景顺长城景泰恒利一年定开债,景顺长城景颐惠利一年持有期债券A,景顺长城景颐惠利一年持有期债券C",884,131.91,6.65
10,潘飞,诺安基金,"诺安瑞鑫定开债券,诺安理财宝货币A,诺安理财宝货币B,诺安理财宝货币C,诺安恒惠债券",1864,59.47,17.11
11,彭海伟,华夏基金,华夏稳增混合,2827,12.03,44.37
12,潘泓宇,中信建投基金,"中信建投凤凰货币A,中信建投凤凰货币B,中信建投稳泰一年定开债券",196,22.77,1.98
13,皮劲松,创金合信基金,"创金合信医疗保健股票A,创金合信医疗保健股票C,创金合信医药消费股票A,创金合信医药消费股票C",1079,14.46,227.74
14,潘龙玲,建信基金,建信高端医疗股票,2024,2.3,136.08
15,彭凌志,国泰基金,"国泰新经济灵活配置混合,国泰互联网+股票,国泰优势行业混合,国泰成长价值混合A,国泰成长价值混合C",2144,31.51,168.7
16,潘明,国联安基金,"国联安科技动力,国联安匠心科技1个月持有混合,国联安优选行业混合,国联安科创3年封闭混合",2798,43.64,227.4
17,潘如璐,东吴基金,"东吴悦秀纯债债券A,东吴悦秀纯债债券C",43,20.39,-0.03
18,蒲世林,富国基金,"富国城镇发展股票,富国阿尔法两年持有期混合",1030,23.88,158.15
19,潘巍,安信基金,"安信新目标混合A,安信新目标混合C,安信永鑫增强债券A,安信永鑫增强债券C,安信永顺一年定开债券,安信中债1-3年政策性金融债A,安信中债1-3年政策性金融债C,安信浩盈6个月持有混合,安信稳健回报6个月混合A,安信稳健回报6个月混合C",1128,26.12,20.9
20,彭炜,融通基金,"融通新能源灵活配置混合,融通中国风1号灵活配置混合A/B,融通消费升级混合,融通量化多策略混合A,融通量化多策略混合C,融通产业趋势先锋股票,融通中国风1号灵活配置混合C,融通产业趋势臻选股票",1531,59,148.24
21,彭玮,天弘基金,"天弘裕利灵活配置混合A,天弘价值精选灵活配置混合,天弘裕利灵活配置混合C,天弘增强回报债券A,天弘增强回报债券C,天弘信益债券A,天弘信益债券C,天弘增强回报债券E,天弘合益债券A,天弘合益债券C,天弘庆享债券A,天弘庆享债券C,天弘益新混合A,天弘益新混合C,天弘招添利混合A,天弘招添利混合C",292,23.95,4.35
22,庞文杰,北信瑞丰,"北信瑞丰中国智造,北信瑞丰外延增长,北信瑞丰优选成长",500,1.35,54.86
23,彭欣杨,华商基金,"华商产业升级混合,华商价值精选混合",2011,8.85,101.12
24,潘漪,泰康资产,"泰康睿福3月持有混合(FOF)A,泰康睿福3月持有混合(FOF)C,泰康福泰平衡养老三年持有混合(FOF),泰康福安养老一年持有混合(FOF),泰康福泽养老五年持有混合(FOF)",549,26.24,28.21
25,潘永昌,诺德基金,"诺德新生活混合A,诺德新生活混合C,诺德研发创新100",780,7.27,72.88
26,潘一菲,东海证券,东海资管海鑫增利3个月定开债,73,,-0.58
27,蒲延杰,中银证券,"中银证券安弘债券A,中银证券安弘债券C,中银证券安泰债券A,中银证券安泰债券C,中银证券鑫瑞6个月持有A,中银证券鑫瑞6个月持有C,中银证券均衡成长混合A,中银证券均衡成长混合C,中银证券盈瑞混合A,中银证券盈瑞混合C",1676,15.94,15.38
28,裴禹翔,诺安基金,"诺安稳固收益一年定开债,诺安进取回报混合,诺安精选回报混合,诺安圆鼎定开债,诺安鑫享定开债发起式,诺安浙享定开债券,诺安增利债券A,诺安增利债券B,诺安双利债券发起",2077,99.33,85.97
29,潘中宁,华夏基金,"华夏潜龙精选股票,华夏见龙精选混合",1113,6.72,143.13
30,彭震威,中欧基金,"中欧可转债债券A,中欧可转债债券C",458,20.75,5.15
31,彭紫云,建信基金,"建信双债增强债券A,建信双债增强债券C,建信灵活配置混合,建信稳定丰利债券A,建信稳定丰利债券C,建信瑞丰添利混合A,建信瑞丰添利混合C,建信鑫悦90天滚动中短债A,建信鑫悦90天滚动中短债C,建信稳定增利债券C,建信双息红利债券A,建信纯债债券A,建信稳定增利债券A,建信双息红利债券C,建信纯债债券C",821,54.32,11.54
32,彭振中,大成基金,"大成全球美元债(QDII)A人民币,大成全球美元债(QDII)C人民币,大成全球美元债(QDII)A美元,大成全球美元债(QDII)C美元",568,1.98,-1.11
33,曲波,华夏基金,"华夏财富宝货币A,华夏薪金宝货币,华夏现金增利货币B,华夏天利货币A,华夏天利货币B,华夏沃利货币A,华夏沃利货币B,华夏现金增利货币A/E,华夏惠利货币A,华夏财富宝货币B,华夏惠利货币B,华夏惠利货币C,华夏快线交易型货币",5018,2646.31,55.99
34,钱布克,永赢基金,永赢乾益债券,45,2,0.08
35,邱博文,上海海通证券资产管理,"海通海升六个月持有债券A,海通海升六个月持有债券C",178,11.32,2.21
36,仇秉则,汇安基金,"汇安嘉盈一年持有期债券A,汇安嘉诚债券A,汇安嘉诚债券C,汇安信利债券A,汇安信利债券C,汇安嘉利混合A,汇安嘉利混合C,汇安恒利39个月定开纯债债券,汇安嘉盈一年持有期债券C,汇安鑫泽稳健一年持有期混合A,汇安鑫泽稳健一年持有期混合C,汇安泓利一年持有期混合A,汇安泓利一年持有期混合C,汇安信泰稳健一年持有期混合A,汇安信泰稳健一年持有期混合C,汇安裕兴12个月定开纯债债券",1777,110.18,13.54
37,瞿灿,银华基金,"银华添益定开债,银华添润定期开放债券,银华岁丰定期开放债券发起式,银华永盛债券,银华永兴纯债债券(LOF)A,银华永兴纯债债券(LOF)C",2334,36.49,29.77
38,乔春,东方阿尔法基金,"东方阿尔法优选混合A,东方阿尔法优选混合C",1879,3.31,-11.26
39,秦昌贵,长江证券(上海),"长江量化匠心甄选A,长江量化匠心甄选C,长江量化消费精选股票A,长江量化消费精选股票C,长江量化科技精选一个月滚动持有股票A,长江量化科技精选一个月滚动持有股票C,长江沪深300指数增强发起式A,长江沪深300指数增强发起式C",718,6.17,-2.81
40,邱丹,中信证券,"中信证券增利一年定开债A,中信证券六个月债券A,中信证券六个月债券C,中信证券增利一年定开债C",784,2.86,7.6
41,丘栋荣,中庚基金,"中庚价值领航混合,中庚小盘价值股票,中庚价值灵动灵活配置混合,中庚价值品质一年持有期混合",2350,108.48,120.9
42,秦锋,银华基金,"银华中证全指医药卫生,银华富利精选混合",1477,55.75,110.09
43,綦缚鹏,国投瑞银基金,"国投瑞银招财混合,国投瑞银瑞源灵活配置混合,国投瑞银瑞利混合(LOF)",4192,3.37,136.3
44,祁广东,易方达基金,"易方达中短期美元债(QDII)A人民币,易方达中短期美元债(QDII)C人民币,易方达中短期美元债(QDII)A美元现汇,易方达中短期美元债(QDII)C美元现汇",862,8.17,9.18
45,祁禾,易方达基金,"易方达新丝路灵活配置混合,易方达环保主题混合,易方达高端制造混合,易方达智造优势混合A,易方达智造优势混合C,易方达产业升级一年封闭混合A,易方达产业升级一年封闭混合C,易方达核心智造混合",1387,322.87,280.37
46,曲华锋,东方基金,"东方新思路混合A,东方新思路混合C,东方盛世灵活配置混合A,东方民丰回报赢安混合A,东方民丰回报赢安混合C,东方盛世灵活配置混合C",532,8,90.38
47,邱红丽,中海基金,"中海积极收益混合,中海顺鑫灵活配置混合,中海海誉混合A,中海海誉混合C,中海分红增利混合,中海蓝筹混合",2765,17.43,101.53
48,钱厚翔,南方基金,"南方大数据100A,南方大数据100C,南方上证50增强A,南方上证50增强C",910,30,84.58
49,秦海燕,国海证券,"国海量化优选一年持有股票A,国海量化优选一年持有股票C",1892,,-0.99
50,曲径,中欧基金,"中欧互通精选混合E,中欧量化驱动混合,中欧数据挖掘混合A,中欧数据挖掘混合C,中欧互通精选混合A",2341,21.74,149.21
1,曲径,中欧基金,"中欧互通精选混合E,中欧量化驱动混合,中欧数据挖掘混合A,中欧数据挖掘混合C,中欧互通精选混合A",2341,21.74,149.21
2,钱晶,平安基金,"平安MSCI中国A股ETF联接A,平安MSCI中国A股ETF联接C,平安创业板ETF联接A,平安创业板ETF联接C,平安中证新能源汽车ETF发起联接A,平安中证新能源汽车ETF发起联接C,平安港股通恒生中国企业ETF,平安创业板ETF,平安MSCI中国A股国际ETF,平安MSCI中国A股ETF,平安人工智能ETF,平安中证新能源汽车产业ETF,平安中证畜牧养殖ETF,平安医药及医疗器械创新ETF,平安中证消费电子主题ETF",2181,93.93,201.37
3,邱杰,前海开源基金,"前海开源工业革命4.0混合,前海开源再融资股票,前海开源恒远灵活配置混合,前海开源价值成长混合A,前海开源价值成长混合C,前海开源优质成长混合,前海开源稳健增长三年混合,前海开源聚慧三年持有混合",2466,60.06,108.69
4,邱璟旻,广发基金,"广发优势增长股票,广发聚丰混合C,广发新经济混合C,广发成长精选混合A,广发成长精选混合C,广发优势成长股票A,广发优势成长股票C,广发聚丰混合A,广发新经济混合A",2003,246.23,178.22
5,祁洁萍,淳厚基金,"淳厚稳鑫债券A,淳厚稳鑫债券C,淳厚中短债债券A,淳厚中短债债券C,淳厚稳嘉债券A,淳厚稳嘉债券C,淳厚安裕87个月定开债,淳厚稳悦债券A,淳厚稳悦债券C,淳厚益加债券A,淳厚益加债券C,淳厚安心87个月定开债",1865,172.51,4.52
6,乔嘉麒,永赢基金,"永赢双利债券A,永赢双利债券C,永赢丰益债券,永赢添益债券,永赢丰利债券A,永赢丰利债券C,永赢荣益债券A,永赢荣益债券C,永赢泰益债券A,永赢泰益债券C,永赢嘉益债券,永赢裕益债券A,永赢裕益债券C,永赢汇利六个月定开债,永赢稳健增长一年持有混合A,永赢稳健增长一年持有混合E",1602,276.44,27.24
7,乔亮,万家基金,"万家沪深300指数增强A,万家沪深300指数增强C,万家量化睿选混合,万家中证1000指数增强A,万家中证1000指数增强C,万家中证500指数增强A,万家中证500指数增强C,万家创业板指数增强A,万家创业板指数增强C,万家互联互通核心资产量化A,万家互联互通核心资产量化C",785,14.1,82
8,乔敏,永赢基金,永赢竞争力精选混合,729,1.03,65.94
9,瞿明昱,中银基金,"中银上海金ETF联接A,中银上海金ETF联接C,中银上海金ETF",14,1.51,1.51
10,齐宁,博时基金,"博时创新驱动混合A,博时创新驱动混合C",258,0.68,-11.2
11,綦鹏,恒生前海基金,"恒生前海短债债券A,恒生前海短债债券C,恒生前海恒颐五年定开债A,恒生前海恒颐五年定开债C,恒生前海恒源天利债券A,恒生前海恒源天利债券C",1259,28.81,3.3
12,秦庆,申万宏源证券,申万红利成长灵活配置混合,268,1.79,-2.34
13,乔迁,兴证全球基金,兴全商业模式优选混合,1554,196.76,132.33
14,曲泉儒,诺安基金,"诺安鼎利混合A,诺安鼎利混合C,诺安平衡混合,诺安新动力混合,诺安双利债券发起",909,27.92,105.19
15,秦石,平安证券,"平安安赢添利半年滚动持有A,平安安赢添利半年滚动持有B,平安安赢添利半年滚动持有C,平安安赢添利半年滚动持有D",155,4.05,1.21
16,祁善斌,国寿安保基金,"国寿安保成长优选股票,国寿安保研究精选混合A,国寿安保研究精选混合C",185,4.79,11.96
17,钱思佳,东方红资产管理,"东方红启元三年持有混合B,东方红恒阳五年定开混合,东方红启元三年持有混合A",749,115.88,55.58
18,曲少杰,长城基金,长城港股通混合,841,2.18,34
19,邱世磊,广发基金,"广发安悦回报混合A,广发集瑞债券A,广发集瑞债券C,广发安悦回报混合C",1950,26.44,
20,曲盛伟,嘉实基金,"嘉实逆向策略股票,嘉实策略精选混合A,嘉实策略精选混合C,嘉实主题新动力混合",1402,24.52,162.37
21,秦闻,浦银安盛基金,"浦银安盛睿智精选混合A,浦银安盛睿智精选混合C",288,0.47,4.78
22,钱文成,中融基金,"中融融慧双欣一年定开债券A,中融融慧双欣一年定开债券C,中融景瑞一年持有混合A,中融景瑞一年持有混合C,中融景颐6个月持有期混合A,中融景颐6个月持有期混合C,中融景盛一年持有混合A,中融景盛一年持有混合C,中融景泓一年持有混合A,中融景泓一年持有混合C",3055,84.98,2.44
23,钱文礼,长盛基金,"长盛成长龙头混合A,长盛成长龙头混合C,长盛电子信息产业混合",1448,13.21,96.03
24,齐炜中,大成基金,"大成一带一路灵活配置混合,大成蓝筹稳健混合,大成消费主题混合,大成景阳领先混合",619,30.1,110.45
25,钱鑫,兴证全球基金,兴全有机增长混合,309,28.41,4.32
26,齐兴方,信达澳银基金,"信达澳银精华配置混合C,信达澳银精华配置混合A",191,8.8,26.48
27,秦绪文,东方红资产管理,"东方红沪港深混合,东方红智选三年持有混合A,东方红智选三年持有混合C,东方红睿阳三年混合",2092,93.9,140.33
28,曲扬,前海开源基金,"前海开源国家比较优势混合A,前海开源中国稀缺资产混合A,前海开源沪港深蓝筹精选混合A,前海开源沪港深价值精选混合,前海开源沪港深优势精选混合A,前海开源人工智能主题混合,前海开源中国稀缺资产混合C,前海开源医疗健康A,前海开源医疗健康C,前海开源优质企业6个月持有混合A,前海开源优质企业6个月持有混合C,前海开源国家比较优势混合C,前海开源沪港深优势精选混合C,前海开源沪港深蓝筹精选混合C,前海开源聚利一年持有混合A,前海开源聚利一年持有混合C",2890,600.41,275.87
29,秦毅,泓德基金,"泓德泓业混合,泓德战略转型股票,泓德裕祥债券A,泓德裕祥债券C,泓德泓华混合,泓德睿泽混合,泓德睿源三年持有期混合,泓德睿诚混合A,泓德睿诚混合C",1595,310.02,260.25
30,戚彧,长江证券(上海),长江安盈中短债六个月定开,191,1.55,2.23
31,邱延冰,中金基金,"中金金泽A,中金金泽C,中金衡优灵活配置混合A,中金衡优灵活配置混合C,中金瑞和A,中金瑞和C,中金泰顺12个月定开混合,中金成长精选混合A,中金成长精选混合C,中金恒远一年持有期混合,中金鑫瑞优选一年持有混合",469,25.25,21.65
32,钱亚风云,中银基金,"中银消费主题混合,中银战略新兴产业股票A,中银战略新兴产业股票C,中银持续增长混合C,中银持续增长混合A",2271,29.19,222.8
33,邱宇航,建信基金,"建信消费升级混合,建信汇利灵活配置混合",3748,1.74,192.3
34,邱紫华,富荣基金,"富荣中证500指数A,富荣中证500指数C",414,0.08,12.44
35,漆志伟,长江证券(上海),"长江收益增强债券,长江乐享货币A,长江乐享货币B,长江乐享货币C,长江乐盈定开债发起式,长江乐鑫定开债,长江可转债债券A,长江可转债债券C,长江安盈中短债六个月定开,长江添利混合A,长江添利混合C,长江安享纯债18个月定开债A,长江安享纯债18个月定开债C,长江双盈6个月持有债券发起式A,长江双盈6个月持有债券发起式C",1823,119.59,43.6
36,芮晨,交银施罗德基金,交银科技创新灵活配置混合,2341,2.49,140.06
37,任翀,泰康资产,"泰康安泰回报混合,泰康安益纯债A,泰康安益纯债C,泰康安惠纯债债券A,泰康瑞坤纯债债券,泰康安悦纯债3月定开债券,泰康裕泰债券A,泰康裕泰债券C,泰康安惠纯债债券C,泰康安欣纯债债券A,泰康安欣纯债债券C",2031,87.22,41.13
38,任慧峰,中邮基金,"中邮核心竞争力灵活配置混合,中邮价值精选混合A,中邮价值精选混合C",1150,6.09,77.58
39,任慧娟,泰康资产,"泰康薪意保货币A,泰康薪意保货币B,泰康新机遇混合,泰康薪意保货币E,泰康恒泰回报混合A,泰康恒泰回报混合C,泰康丰盈债券,泰康现金管家货币A,泰康现金管家货币B,泰康现金管家货币C,泰康现金管家货币D,泰康申润一年持有期混合A,泰康申润一年持有期混合C",2136,115.17,98.24
40,冉凌浩,大成基金,"大成纳斯达克100,大成恒生综合中小型股指数C,大成中华沪深港300指数(LOF)C,大成恒生科技ETF发起式联接A,大成恒生科技ETF发起式联接C,大成标普500等权重指数(QDII)美元,大成标普500等权重指数,大成恒生科技ETF(QDII),大成恒生综合中小型股指数A,大成恒生指数,大成中华沪深港300指数(LOF)A",3702,23.57,224.5
41,任琳娜,招商基金,招商安润混合,1222,7.61,-6.29
42,任明,天弘基金,"天弘新价值混合,天弘荣享定开债,天弘永利优佳混合A,天弘永利优佳混合C",26,70.71,1.85
43,任凭,安信基金,"安信活期宝货币A,安信活期宝货币B,安信尊享添益债券A,安信聚利增强债券A,安信聚利增强债券C,安信尊享添益债券C,安信鑫日享中短债A,安信鑫日享中短债C,安信聚利增强债券B,安信招信一年持有混合A,安信招信一年持有混合C,安信宏盈18个月持有混合,安信现金管理货币A,安信现金管理货币B",1161,209.24,9
44,任爽,广发基金,"广发天天红货币A,广发天天利货币A,广发天天利货币B,广发钱袋子货币A,广发活期宝货币A,广发天天利货币E,广发天天红货币B,广发活期宝货币B,广发钱袋子货币E",3228,3988.64,29.87
45,任涛,融通基金,融通新能源灵活配置混合,224,5.52,42.63
46,任翔,上投摩根基金,"上投摩根瑞益纯债A,上投摩根瑞益纯债C,上投摩根瑞泰38个月定开A,上投摩根瑞泰38个月定开C,上投摩根中债1-3年国开债指数A,上投摩根中债1-3年国开债指数C",688,56.09,5.03
47,任相栋,兴证全球基金,"兴全合泰混合A,兴全合泰混合C",1977,106.31,83.27
48,饶晓鹏,华安基金,"华安现代生活混合,华安汇智精选两年持有期混合,华安聚优精选混合,华安聚弘精选混合A,华安聚弘精选混合C,华安行业轮动混合,华安升级主题混合",2701,215.69,257.69
49,荣膺,华夏基金,"MSCI中国A股国际通联接A,华夏中证500ETF联接A,MSCI中国A股国际通联接C,华夏中证央企ETF联接A,华夏中证央企ETF联接C,华夏中证500ETF联接C,华夏上证50AH优选指数C,华夏创蓝筹ETF联接A,华夏创蓝筹ETF联接C,华夏创成长ETF联接A,华夏创成长ETF联接C,华夏AH经济蓝筹股票A,华夏AH经济蓝筹股票C,华夏饲料豆粕期货ETF联接A,华夏饲料豆粕期货ETF联接C,华夏创新100ETF联接A,华夏创新100ETF联接C,华夏黄金ETF联接A,华夏黄金ETF联接C,华夏科创板50ETF联接A,华夏科创板50ETF联接C,华夏创蓝筹ETF,华夏创成长ETF,华夏粤港澳大湾区创新100ETF,华夏饲料豆粕期货ETF,华夏上证50AH优选指数A,华夏中证500ETF,华夏中证央企ETF,华夏MSCIA股国际通ETF,华夏黄金ETF,华夏上证科创板50成份ETF",2169,478.28,169.76
50,茹昱,鹏扬基金,鹏扬淳悦一年定开债发起式,323,10.43,1.97
1,饶玉涵,国泰基金,"国泰央企改革股票,国泰民裕进取灵活配置混合,国泰区位优势混合,国泰金鼎价值混合",2227,14.41,139.25
2,茹奕菡,汇添富基金,"汇添富安心中国债券A,汇添富安心中国债券C",1108,2.2,8.63
3,冉宇航,广发基金,"广发金融地产精选股票A,广发金融地产精选股票C",107,1.76,-2.56
4,戎逸洲,东方红资产管理,"东方红中证竞争力指数A,东方红中证竞争力指数C",685,10.49,41.97
5,神爱前,平安基金,"平安医疗健康混合,平安转型创新混合A,平安转型创新混合C,平安策略先锋混合",1913,5.05,198.1
6,史博,南方基金,"南方绩优成长混合C,南方兴润价值一年持有混合A,南方兴润价值一年持有混合C,南方新能源产业趋势混合A,南方新能源产业趋势混合C,南方绩优成长混合A,南方瑞合定开混合(LOF)",4901,254.1,210.36
7,孙彬,富国基金,"富国价值优势混合,富国新活力灵活配置混合A,富国新活力灵活配置混合C,富国新机遇灵活配置混合A,富国新机遇灵活配置混合C,富国融享18个月定开混合,富国融泰三个月定开混合发起式,富国沪深300基本面精选股票A,富国沪深300基本面精选股票C",875,72.37,211.58
8,孙蓓琳,银华基金,"银华聚利灵活配置混合A,银华万物互联灵活配置混合,银华大数据灵活配置定开混合,银华聚利灵活配置混合C,银华积极成长混合,银华积极精选混合",3219,27.01,118.79
9,宋炳珅,工银瑞信基金,工银研究精选股票,3530,1.19,247.6
10,沈博文,富国基金,"富国景利纯债债券,富国全球债券(QDII)美元现汇,富国亚洲收益债券(QDII)人民币,富国亚洲收益债券(QDII)美元,富国荣利纯债一年定开债发起式,富国全球债券(QDII)",1191,16.34,10.06
11,苏秉毅,大成基金,"大成智惠量化多策略混合,大成景恒混合C,大成沪深300指数C,大成核心双动力混合,大成景恒混合A,大成中证100ETF,大成深证成份ETF,大成中证500沪市ETF,大成沪深300指数A",3535,20.23,123.6
12,沙川,天弘基金,"天弘中证医药100A,天弘中证医药100C,天弘中证食品饮料指数A,天弘中证食品饮料指数C,天弘中证全指证券公司ETF联接A,天弘中证全指证券公司ETF联接C,天弘中证农业主题A,天弘中证农业主题C,天弘国证A50指数A,天弘国证A50指数C,天弘国证生物医药ETF发起式联接A,天弘国证生物医药ETF发起式联接C,天弘中证新能源车A,天弘中证新能源车C,天弘中证人工智能A,天弘中证人工智能C,天弘中证全指医疗保健设备与服务ETF联接A,天弘中证全指医疗保健设备与服务ETF联接C,天弘中证食品饮料ETF,天弘中证机器人ETF,天弘上海金ETF,天弘中证全指证券公司ETF,天弘国证生物医药ETF,天弘中证全指医疗保健设备与服务ETF",1313,135.07,82.44
13,施成,国投瑞银基金,"国投瑞银进宝灵活配置混合,国投瑞银先进制造混合,国投瑞银新能源混合A,国投瑞银新能源混合C,国投瑞银产业趋势混合A,国投瑞银产业趋势混合C",930,38.52,323.14
14,苏昌景,泓德基金,"泓德泓富混合A,泓德泓富混合C,泓德泓业混合,泓德泓益量化混合,泓德泓信混合,泓德量化精选混合,泓德优质治理灵活配置混合",1994,33.88,158.82
15,孙晨进,申万菱信基金,"申万菱信量化成长混合,申万菱信量化对冲策略混合",2260,10.14,8.16
16,邵笛,东吴基金,"东吴增鑫宝货币A,东吴增鑫宝货币B,东吴货币A,东吴货币B",2541,101.01,23
17,孙迪,广发基金,"广发品牌消费股票发起式A,广发资源优选股票A,广发研究精选股票A,广发研究精选股票C,广发资源优选股票C,广发品牌消费股票发起式C,广发兴诚混合A,广发兴诚混合C,广发诚享混合A,广发诚享混合C",1400,235.98,143.17
18,孙丹,大成基金,"大成景兴信用债债券A,大成景兴信用债债券C,大成景尚灵活配置混合A,大成景尚灵活配置混合C,大成景瑞稳健配置混合A,大成景瑞稳健配置混合C,大成尊享18月定开混合A,大成尊享18月定开混合C,大成丰享回报混合A,大成丰享回报混合C,大成汇享一年持有混合A,大成汇享一年持有混合C,大成卓享一年持有混合A,大成卓享一年持有混合C,大成安享得利六个月持有混合A,大成安享得利六个月持有混合C,大成2020生命周期混合",1620,95.77,37.91
19,沈丹,国联安基金,国联安安享稳健养老(FOF),1512,0.11,-1.1
20,宋德舜,诺安基金,"诺安鸿鑫混合,诺安积极回报混合A,诺安沪深300指数增强C,诺安积极回报混合C,诺安沪深300指数增强A",3292,4.55,62.38
21,石大怿,易方达基金,"易方达天天理财货币A,易方达天天理财货币B,易方达天天理财货币R,易方达易理财货币A,易方达现金增利货币A,易方达现金增利货币B,易方达天天增利货币A,易方达天天增利货币B,易方达龙宝货币A,易方达龙宝货币B,易方达天天发货币A,易方达天天发货币B,易方达现金增利货币C,易方达龙宝货币C,易方达天天理财货币C,易方达安瑞短债A,易方达安瑞短债C,易方达易理财货币B,易方达货币A,易方达货币B,易方达保证金货币A,易方达保证金货币B,易方达货币E",3244,4833.57,35.9
22,宋殿宇,中银基金,"中银宝利混合A,中银宝利混合C,中银宏利混合A,中银宏利混合C,中银颐利混合A,中银颐利混合C,中银润利混合A,中银润利混合C",1341,26.22,40.35
23,索峰,国泰基金,"国泰丰祺纯债债券,国泰兴富三个月定开债,国泰合融纯债债券,国泰中债1-3年国开债A,国泰中债1-3年国开债C,国泰中债1-5年政金债A,国泰中债1-5年政金债C",4612,62.14,5.93
24,孙芳,上投摩根基金,"上投摩根行业睿选股票A,上投摩根行业睿选股票C,上投摩根核心优选混合,上投摩根双息平衡混合A,上投摩根行业轮动混合A",3598,96.37,610.56
25,盛丰衍,西部利得基金,"西部利得量化成长混合A,西部利得中证500指数增强C,西部利得国企红利(LOF)C,西部利得量化优选一年持有A,西部利得量化优选一年持有C,西部利得量化成长混合C,西部利得人工智能主题指数增强A,西部利得人工智能主题指数增强C,西部利得国企红利(LOF)A,西部利得中证500指数增强A,西部利得沪深300指数增强A,西部利得沪深300指数增强C",1785,54.02,153.73
26,舒灏,华安基金,"华安稳健回报混合,华安新机遇灵活配置,华安大安全混合,华安安禧混合A,华安安禧混合C,华安新泰利灵活配置混合A,华安新泰利灵活配置混合C,华安添禧一年持有期混合A,华安添禧一年持有期混合C",1200,23.79,185.05
27,盛骅,华安基金,"华安沪港深机会灵活配置混合,华安沪港深优选混合,华安优势龙头混合A,华安优势龙头混合C,华安核心优选混合",1338,64.18,169.79
28,孙慧,银华基金,"银华远景债券,银华可转债债券,银华远兴一年持有期债券,银华信用双利债券A,银华信用双利债券C,银华永祥灵活配置混合",2077,127.67,85.19
29,盛豪,华泰柏瑞基金,"华泰柏瑞量化优选混合,华泰柏瑞量化绝对收益混合,华泰柏瑞量化驱动混合A,华泰柏瑞量化阿尔法A,华泰柏瑞港股通量化混合,华泰柏瑞量化驱动混合C,华泰柏瑞量化阿尔法C,华泰柏瑞量化明选A,华泰柏瑞量化明选C,华泰柏瑞量化创享混合A,华泰柏瑞量化创享混合C,华泰柏瑞量化先行混合C,华泰柏瑞量化先行混合A",2193,32.87,104.72
30,宋海岸,长信基金,"长信国防军工量化混合A,长信中证500指数增强,长信沪深300指数增强A,长信沪深300指数增强C,长信国防军工量化混合C",1340,17.09,145.19
31,商园波,中泰证券(上海)资管,"中泰蓝月短债A,中泰蓝月短债C,中泰青月中短债A,中泰青月中短债C,中泰稳固周周购12周滚动债A,中泰稳固周周购12周滚动债C",902,12.73,7.71
32,宋海娟,中信保诚基金,"信诚增强收益债券(LOF),信诚三得益债券A,信诚三得益债券B",2908,24.34,83.13
33,施红俊,鹏扬基金,"鹏扬元合量化大盘A,鹏扬元合量化大盘C,鹏扬中证500质量成长指数A,鹏扬中证500质量成长指数C,鹏扬沪深300质量成长低波动A,鹏扬沪深300质量成长低波动C,鹏扬中证科创创业50指数A,鹏扬中证科创创业50指数C,鹏扬中证500质量成长ETF",777,41.35,78.58
34,孙海龙,南华基金,"南华瑞鑫定期开放债券,南华瑞元定期开放债券,南华价值启航纯债债券A,南华价值启航纯债债券C,南华瑞泽债券A,南华瑞泽债券C,南华瑞泰39个月定开A,南华瑞泰39个月定开C,南华瑞利纯债A,南华瑞利纯债C",468,80.69,31.53
35,孙浩中,中信保诚基金,"信诚新兴产业混合A,信诚新泽A,信诚新泽B,信诚新悦回报灵活配置混合A,信诚新悦回报灵活配置混合B,中信保诚至兴混合A,中信保诚至兴混合C,信诚新兴产业混合C,信诚中小盘混合",659,25.97,232.81
36,桑俊,国投瑞银基金,"国投瑞银新机遇灵活配置混合A,国投瑞银新机遇灵活配置混合C,国投瑞银新增长混合A,国投瑞银研究精选股票,国投瑞银瑞祥A,国投瑞银新增长混合C,国投瑞银瑞祥C,国投瑞银安睿混合A,国投瑞银安睿混合C,国投瑞银安智混合A,国投瑞银安智混合C,国投瑞银成长优选混合",2506,25.29,117.28
37,师婧,泰达宏利基金,"泰达宏利宏达混合A,泰达宏利宏达混合B,泰达宏利新起点混合A,泰达宏利新起点混合B,泰达宏利印度(QDII),泰达宏利品质生活混合",1389,8.88,27.54
