,序号,姓名,所属公司,现任基金,累计从业时间,现任基金资产总规模,现任基金最佳回报
1482,33,邵文婷,交银施罗德基金,"交银创业板50指数A,交银创业板50指数C,交银中证环境治理(LOF)C,交银深证300价值ETF,交银新能源指数(LOF),交银中证海外中国互联网指数,交银中证环境治理(LOF)A,交银上证180公司治理ETF,交银上证180公司治理联接,交银深证300价值ETF联接",0 ,78.95,45.44
1483,34,苏辛,民生加银基金,民生加银康泰养老2040三年持有混合(FOF),2 ,,
1484,35,沈夏,新沃基金,"新沃通宝A,新沃通宝B,新沃通利纯债A,新沃通利纯债C,新沃安鑫87个月定开债",1 ,54.9,2.94
1485,36,沈雪峰,华泰柏瑞基金,"华泰柏瑞激励动力混合A,华泰柏瑞激励动力混合C,华泰柏瑞品质优选A,华泰柏瑞品质优选C,华泰柏瑞优势领航混合A,华泰柏瑞优势领航混合C,华泰柏瑞品质成长混合A,华泰柏瑞品质成长混合C",10 ,96.81,41.57
1486,37,苏炫纲,南方基金,"南方亚洲美元债人民币A,南方亚洲美元债人民币C,南方亚洲美元债美元现汇A,南方亚洲美元债美元现汇C,南方全球债券(QDII)人民币A,南方全球债券(QDII)人民币C,南方全球债券(QDII)美元现汇A,南方全球债券(QDII)美元现汇C",6 ,21.43,15.27
1487,38,单秀丽,贝莱德基金管理有限公司,"贝莱德中国新视野混合A,贝莱德中国新视野混合C",0 ,66.81,
1488,39,史向明,农银汇理基金,"农银天天利货币A,农银天天利货币B,农银汇理金丰一年定开债,农银汇理金利一年定开债,农银汇理金鑫3个月定开债,农银恒久增利债券A,农银增强收益债券A,农银汇理金聚高等级债券,农银恒久增利债券C,农银增强收益债券C",13 ,171.47,91.77
1489,40,石霄蒙,中融基金,"中融聚明定期开放债券,中融聚通定期开放债券,中融聚锦一年定开债券,中融恒益纯债债券A,中融恒益纯债债券C",1 ,33.64,14.64
1490,41,石晓冉,人保资产,"人保量化混合A,人保量化混合C,人保沪深300指数,人保中证500指数,人保量化锐进混合A,人保量化锐进混合C",1 ,3.36,21.4
1491,42,孙欣炎,先锋基金,"先锋精一混合A,先锋精一混合C,先锋聚元灵活配置混合A,先锋聚元灵活配置混合C,先锋量化优选混合A,先锋量化优选混合C",2 ,0.69,93.44
1492,43,孙笑悦,富国基金,"富国医疗保健行业混合A,富国精准医疗混合,富国医药成长30股票,富国医疗保健行业混合C",1 ,69.55,47.3
1493,44,桑迎,国寿安保基金,"国寿安保货币A,国寿安保货币B,国寿安保薪金宝货币,国寿安保添利货币A,国寿安保添利货币B,国寿安保尊弘短债债券A,国寿安保尊弘短债债券C,国寿安保尊弘短债债券E,国寿安保货币E",9 ,618.92,24.14
1494,45,石玉,中金基金,"中金纯债A,中金纯债C,中金现金管家A,中金现金管家B,中金金利A,中金金利C,中金现金管家C,中金浙金6个月定开债,中金新元6个月定开债A,中金新元6个月定开债C,中金中债1-3年政金债A,中金中债1-3年政金债C,中金新盛1年定开债",5 ,327.82,17.82
1495,46,宋洋,华夏基金,"华夏沪深300指数增强A,华夏沪深300指数增强C,华夏睿磐泰兴混合,华夏睿磐泰茂混合A,华夏睿磐泰茂混合C,华夏睿磐泰荣混合A,华夏睿磐泰荣混合C,华夏睿磐泰利混合A,华夏睿磐泰利混合C",5 ,46.41,77.17
1496,47,史延,前海开源基金,"前海开源弘丰债券A,前海开源弘丰债券C,前海开源鼎欣债券A,前海开源鼎欣债券C",2 ,11.35,9.12
1497,48,沈悦,中欧基金,"中欧潜力价值灵活配置混合A,中欧价值发现混合E,中欧成长优选混合E,中欧丰泓沪港深混合A,中欧丰泓沪港深混合C,中欧价值发现混合C,中欧潜力价值灵活配置混合C,中欧价值发现混合A,中欧成长优选混合A,中欧恒利三年定期开放混合",1 ,105.51,58.93
1498,49,孙悦,创金合信基金,"创金合信量化多因子股票A,创金合信沪深300指数增强A,创金合信沪深300指数增强C,创金合信中证1000指数增强A,创金合信中证1000指数增强C,创金合信量化多因子股票C,创金合信量化核心混合A,创金合信量化核心混合C,创金合信红利低波动A,创金合信红利低波动C,创金合信港股通量化股票A,创金合信港股通量化股票C,创金同顺创业板精选股票A,创金同顺创业板精选股票C",1 ,16.11,32.07
1499,50,孙野,东吴基金,东吴苏园REITs,0 ,,
1500,1,沈吟,上海光大证券资产管理,"光大阳光3个月持有(FOF)A,光大阳光3个月持有(FOF)C",0 ,,-0.1
1501,2,宋永安,农银汇理基金,"农银沪深300指数C,农银中证新华社民族品牌指数,农银大盘蓝筹混合,农银沪深300指数A,农银中证500指数",9 ,8.34,144.13
1502,3,神玉飞,银河基金,"银河产业动力混合,银河研究精选混合,银河智联混合",9 ,36.6,188.5
1503,4,孙轶佳,华夏基金,"华夏新兴消费混合A,华夏新兴消费混合C,华夏优加生活混合A,华夏优加生活混合C,华夏新兴经济一年持有混合A,华夏新兴经济一年持有混合C",6 ,48.86,207.44
1504,5,苏玉平,华安基金,"华安信用四季红债券C,华安强化收益债券A,华安强化收益债券B,华安信用四季红债券A",12 ,4.37,124.86
1505,6,苏燕青,招商基金,"招商深证TMT50ETF联接C,招商中证科创创业50ETF联接A,招商中证科创创业50ETF联接C,招商中证全指医疗器械ETF,招商中证全指软件ETF,招商深证TMT50ETF,招商创业板大盘ETF,招商深证TMT50ETF联接A,招商上证港股通ETF,招商中证科创创业50ETF",5 ,35.73,92.89
1506,7,石雨欣,华安基金,"华安安康灵活配置混合A,华安安康灵活配置混合C,华安稳固收益债券A,华安新瑞利混合A,华安新瑞利混合C,华安新丰利灵活配置混合A,华安新丰利灵活配置混合C,华安新恒利混合A,华安新恒利混合C,华安安盛3个月定开债,华安添祥6个月持有混合,华安稳固收益债券C",6 ,68.51,83.21
1507,8,邵卓,建信基金,"建信创新中国混合,建信中小盘先锋股票,建信潜力新蓝筹股票,建信信息产业股票,建信裕利灵活配置混合,建信科技创新混合A,建信科技创新混合C,建信创新驱动混合",7 ,41.22,251.7
1508,9,盛泽,东方基金,"东方鼎新灵活配置混合A,东方鼎新灵活配置混合C,东方岳灵活配置混合,东方量化成长灵活配置混合,东方量化多策略混合,东方核心动力混合",3 ,11.11,124.15
1509,10,陈嵩昆,安信基金,"安信消费升级一年持有混合A,安信消费升级一年持有混合C",0 ,1.35,-0.94
1510,11,沈竹熙,国海富兰克林基金,"国富新趋势混合A,国富新趋势混合C,国富恒博63个月定期开放债券",3 ,88.44,22.68
1511,12,宋钊贤,易方达基金,"易方达标普医疗保健美元汇A,易方达标普生物科技美元汇A,易方达MSCI中国A股联接A,易方达MSCI中国A股联接C,易方达中证红利ETF联接A,易方达中证红利ETF联接C,易方达标普医疗保健人民币C,易方达标普医疗保健美元汇C,易方达标普生物科技人民币C,易方达标普生物科技美元汇C,易方达中证国企改革(LOF)C,易方达上证50指数(LOF)C,易方达标普医疗保健人民币A,易方达标普生物科技人民币A,易方达中证国企改革(LOF)A,易方达上证50指数(LOF)A,易方达MSCI中国A股ETF,易方达中证香港证券投资ETF,易方达中证红利ETF,易方达中证石化产业ETF",1 ,45.25,31.02
1512,13,孙志远,华商基金,"华商嘉悦养老三年持有混合(FOF),华商嘉逸养老目标2040三年持有混合发起式(FOF),华商嘉悦稳健养老目标一年持有混合型发起式(FOF)",0 ,1.49,5.86
1513,14,陶灿,建信基金,"建信改革红利股票,建信现代服务业股票,建信鑫利灵活配置混合,建信高股息主题股票,建信新能源行业股票,建信智能生活混合,建信兴润一年持有混合,建信恒久价值混合",10 ,110.52,561.5
1514,15,谭昌杰,广发基金,"广发趋势优选灵活配置混合A,广发聚宝混合A,广发聚宝混合C,广发趋势优选灵活配置混合C,广发恒隆一年持有混合A,广发恒隆一年持有混合C,广发恒誉混合A,广发恒誉混合C,广发恒通六个月持有期混合A,广发恒通六个月持有期混合C,广发恒悦债券A,广发恒悦债券C,广发恒悦债券E,广发恒信一年持有期混合A,广发恒信一年持有期混合C,广发恒荣三个月持有期混合A,广发恒荣三个月持有期混合C,广发集益一年持有债券A,广发集益一年持有债券C",9 ,365.55,76.54
1515,16,谭冬寒,工银瑞信基金,"工银医疗保健股票,工银医药健康股票A,工银医药健康股票C,工银健康生活混合A,工银健康生活混合C,工银兴瑞一年持有期混合A,工银兴瑞一年持有期混合C",5 ,98.98,244.29
1516,17,唐丁祥,兴业基金,"兴业稳固收益两年理财债券,兴业福益债券,兴业中债1-3年政金债A,兴业聚丰灵活配置混合,兴业启元一年定开债A,兴业启元一年定开债C,兴业中债1-3年政金债C,兴业稳泰66个月定开债券,兴业中债3-5年政策性金融债A,兴业中债3-5年政策性金融债C",3 ,241.55,13.81
1517,18,谭飞,博远基金,"博远博锐混合A,博远博锐混合C",1 ,0.3,-8.42
1518,19,汤戈,英大基金,"英大策略优选A,英大策略优选C,英大国企改革主题股票,英大睿鑫A,英大睿鑫C,英大睿盛A,英大睿盛C",0 ,3.69,16.13
1519,20,陶国峰,兴银基金,"兴银合盈债券A,兴银合盈债券C,兴银瑞益,兴银长盈三个月定开债,兴银鑫日享短债A,兴银鑫日享短债C,兴银汇智定开债",2 ,119.43,7.28
1520,21,童国林,西部利得基金,"西部利得个股精选股票C,西部利得多策略优选混合,西部利得个股精选股票A,西部利得祥盈债券A,西部利得祥盈债券C",4 ,3.71,31.19
1521,22,田光远,嘉实基金,"嘉实中创400ETF联接C,嘉实中证稀土产业ETF联接A,嘉实中证稀土产业ETF联接C,嘉实中证科创创业50ETF发起联接A,嘉实中证科创创业50ETF发起联接C,嘉实中创400ETF联接A,嘉实恒生中国企业ETF(QDII),嘉实中证软件服务ETF,嘉实中证新能源ETF,嘉实中创400ETF,嘉实中证稀土产业ETF,嘉实中证沪港深互联网ETF,嘉实中证稀有金属主题ETF,嘉实中证电池主题ETF,嘉实中证科创创业50ETF",1 ,38.61,65.43
1522,23,汤慧,华宝基金,"华宝品质生活股票,华宝万物互联混合,华宝消费升级混合,华宝成长策略混合,华宝宝康配置混合",2 ,9.17,94.4
1523,24,唐华,贝莱德基金管理有限公司,"贝莱德中国新视野混合A,贝莱德中国新视野混合C",0 ,66.81,
1524,25,汤海波,国投瑞银基金,"国投瑞银信息消费混合,国投瑞银创新医疗混合,国投瑞银港股通混合A,国投瑞银港股通混合C,国投瑞银融华债券,国投瑞银中国价值发现股票",10 ,26.43,90.22
1525,26,涂海强,中银基金,"中银稳进策略混合,中银鑫利混合A,中银鑫利混合C,中银景福回报混合,中银景元回报混合,中银民丰回报混合,中银景泰回报混合,中银稳健策略混合",6 ,39.06,60.48
1526,27,田汉卿,华泰柏瑞基金,"华泰柏瑞量化增强混合A,华泰柏瑞量化绝对收益混合,华泰柏瑞量化智慧混合A,华泰柏瑞量化对冲,华泰柏瑞量化创优混合,华泰柏瑞量化阿尔法A,华泰柏瑞量化智慧混合C,华泰柏瑞量化阿尔法C,华泰柏瑞量化创享混合A,华泰柏瑞量化创享混合C,华泰柏瑞量化增强混合C,华泰柏瑞量化先行混合C,华泰柏瑞量化创盈混合A,华泰柏瑞量化创盈混合C,华泰柏瑞量化先行混合A",8 ,47.98,270.16
1527,28,谭弘翔,华泰柏瑞基金,"华泰柏瑞中证科技ETF联接A,华泰柏瑞中证科技ETF联接C,华泰柏瑞创业板科技ETF,华泰柏瑞中证科技100ETF,华泰柏瑞中证智能汽车主题ETF,华泰柏瑞中证稀土产业ETF,华泰柏瑞中证企业核心竞争力50ETF",1 ,34.08,69.51
1528,29,屠环宇,华夏基金,"华夏领先股票,华夏移动互联混合人民币,华夏移动互联混合美元现汇,华夏移动互联混合美元现钞,华夏创新前沿股票,华夏科技龙头两年定开混合,华夏时代前沿一年持有混合A,华夏时代前沿一年持有混合C,华夏港股前沿经济混合(QDII)A,华夏港股前沿经济混合(QDII)C,华夏互联网龙头混合A,华夏互联网龙头混合C,华夏先进制造龙头混合A,华夏先进制造龙头混合C,华夏创业板两年定开混合",2 ,99.43,89.65
1529,30,TIAN HUAN,天治基金,"天治研究驱动混合C,天治量化核心精选混合A,天治量化核心精选混合C,天治转型升级混合,天治研究驱动混合A",3 ,2.37,136.5
1530,31,唐俊杰,申万菱信基金,"申万菱信多策略灵活配置混合A,申万菱信安鑫回报混合A,申万菱信多策略灵活配置混合C,申万菱信安鑫回报混合C,申万菱信安泰惠利纯债A,申万菱信安泰惠利纯债C,申万菱信安泰广利63个月定开债,申万菱信收益宝货币E,申万菱信宜选混合A,申万菱信宜选混合C,申万菱信收益宝货币A,申万菱信收益宝货币B",9 ,270.51,47.48
1531,32,谭珏娜,安信基金,"安信工业4.0灵活配置混合A,安信工业4.0灵活配置混合C,安信创新先锋混合发起A,安信创新先锋混合发起C",4 ,1.92,52.47
1532,33,童立,华商基金,"华商新锐产业混合,华商研究精选灵活配置,华商上游产业股票,华商科技创新混合,华商核心引力混合A,华商核心引力混合C,华商主题精选混合",5 ,41.11,206.93
1533,34,唐雷,东方阿尔法基金,"东方阿尔法优势产业混合A,东方阿尔法优势产业混合C,东方阿尔法产业先锋混合A,东方阿尔法产业先锋混合C",5 ,63.72,142.37
1534,35,谭丽,嘉实基金,"嘉实新消费股票,嘉实丰和灵活配置混合,嘉实价值精选股票,嘉实价值发现三个月定开混合,嘉实价值长青混合A,嘉实价值长青混合C,嘉实价值臻选混合,嘉实价值驱动一年持有期混合A,嘉实价值驱动一年持有期混合C,嘉实价值优势混合,嘉实产业优选混合(LOF)",4 ,485,160.51
1535,36,童兰,兴证全球基金,兴全趋势投资混合(LOF),1 ,384.19,24.69
1536,37,陶敏,海富通基金,海富通强化回报混合,3 ,2.97,38.99
1537,38,唐能,银华基金,"银华体育文化灵活配置混合,银华农业产业股票发起式,银华瑞泰灵活配置混合,银华科技创新混合,银华瑞祥一年持有期混合,银华智能建造股票发起式,银华和谐主题混合,银华科创主题3年封闭混合",6 ,58.44,192.34
1538,39,汤祺,中融基金,"中融新机遇混合,中融融慧双欣一年定开债券A,中融融慧双欣一年定开债券C",1 ,12.08,45.63
1539,40,陶然,国泰基金,"国泰利是宝货币,国泰货币B,国泰利享中短债债券A,国泰利享中短债债券C,国泰惠鑫一年定期开放债券,国泰利优30天滚动持有短债A,国泰利优30天滚动持有短债C,国泰利泽90天滚动持有中短债A,国泰利泽90天滚动持有中短债C,国泰货币A,国泰现金管理货币A,国泰现金管理货币B,国泰瞬利货币ETF",4 ,2311.46,4.08
1540,41,陶铄,南方基金,"南方弘利A,南方弘利C,南方颐元定开债券发起式A,南方颐元定开债券发起式C",8 ,18.38,28.4
1541,42,陶曙斌,光大保德信基金管理,光大均衡精选混合,4 ,0.57,-1.43
1542,43,唐瑭,上投摩根基金,"上投摩根安隆回报A,上投摩根安隆回报C,上投安裕回报A,上投安裕回报C,上投安享回报一年持有债,上投摩根强化回报债券A,上投摩根强化回报债券B",6 ,72.21,2.17
1543,44,佟巍,华夏基金,华夏经典混合,7 ,13.89,143.8
1544,45,田维,前海开源基金,"前海开源沪港深大消费混合A,前海开源沪港深大消费混合C",1 ,0.58,13.7
1545,46,田文舟,广发基金,"广发龙头优选混合,广发再融资主题",2 ,4.38,92.08
1546,47,覃璇,前海开源基金,"前海开源裕源(FOF),前海开源裕泽(FOF),前海开源康颐平衡养老三年(FOF)",1 ,3.02,26.44
1547,48,唐晓斌,广发基金,"广发多因子混合,广发多元新兴股票,广发瑞锦一年定期开放混合",7 ,101.1,278.41
1548,49,谭小兵,长城基金,"长城医疗保健混合,长城健康生活灵活配置混合,长城创新驱动混合,长城医药科技六个月持有混合A,长城医药科技六个月持有混合C",6 ,43.53,253.74
1549,50,陶星言,西部利得基金,"西部利得港股通新机遇混合A,西部利得港股通新机遇混合C,西部利得鑫泓增强债券A,西部利得鑫泓增强债券C",1 ,1.37,11.4
1550,1,唐赟,交银施罗德基金,"交银信用添利债券(LOF),交银双利债券A/B,交银双利债券C,交银双轮动债券A/B,交银双轮动债券C,交银稳固收益债券,交银增强收益债券,交银定期支付月月丰债券A,交银定期支付月月丰债券C,交银强化回报债券A/B,交银强化回报债券C,交银荣鑫灵活配置混合",6 ,86.07,27.1
1551,2,滕越,招商基金,"招商盛合灵活混合A,招商盛合灵活混合C,招商添德3个月定开债A,招商添德3个月定开债C,招商信用增强债券C,招商民安增益债券A,招商民安增益债券C,招商添浩纯债A,招商添浩纯债C,招商添浩纯债D,招商安本增利债券,招商信用增强债券A",5 ,41.57,22.49
1552,3,田宇,中信证券,"中信债券优化一年持有债A,中信债券优化一年持有债C",3 ,0.75,2.14
1553,4,田原,中银基金,"中银智享债券,中银丰进定期开放债券,中银中债1-3年期国开债指数,中银中债1-3年期农发行债,中银中债1-5年国开债指数,中银彭博政策性银行债券1-5年,中银臻享债券",3 ,137.15,8.46
1554,5,田瑀,中泰证券(上海)资管,"中泰开阳价值优选混合A,中泰兴诚价值一年持有混合A,中泰兴诚价值一年持有混合C,中泰开阳价值优选混合C,中泰星宇一年封闭混合A,中泰星宇一年封闭混合C,中泰稳固周周购12周滚动债A,中泰稳固周周购12周滚动债C",2 ,52.19,128.08
1555,6,田阳,人保资产,"人保货币A,人保货币B,人保鑫瑞中短债债券A,人保鑫瑞中短债债券C,人保福泽一年定期开放债券,人保安惠三个月定开债,人保鑫泽纯债A,人保鑫泽纯债C",2 ,59.56,5.53
1556,7,唐煜,西部利得基金,"西部利得沣泰债券A,西部利得鑫泓增强债券A,西部利得鑫泓增强债券C,西部利得沣泰债券C,西部利得合赢债券A,西部利得合赢债券C,西部利得祥逸债券A,西部利得祥逸债券C,西部利得汇盈债券A,西部利得汇盈债券C",2 ,21.43,6.61
1557,8,陶毅,永赢基金,"永赢稳益债券,永赢瑞益债券,永赢昌利债券A,永赢昌利债券C,永赢泽利一年定开,永赢易弘债券,永赢鑫享混合,永赢稳健增利18个月持有混合,永赢鑫欣混合",1 ,107.91,8.07
1558,9,童宇,诺安基金,诺安高端制造股票,1 ,1.07,12.59
1559,10,陶尹斌,国寿安保基金,"国寿安保尊益信用纯债债券,国寿安保尊裕优化回报债券A,国寿安保尊裕优化回报债券C,国寿安保泰恒纯债债券,国寿安保中债1-3年指数A,国寿安保中债1-3年指数C,国寿安保泰弘纯债债券,国寿安保泰祥纯债一年定开债券发起式,国寿安保泰瑞纯债一年定开债,国寿安保瑞和66个月定开债",3 ,269.1,12.81
1560,11,李欣桐,中科沃土基金,"中科沃土货币A,中科沃土货币B,中科沃土沃嘉混合A,中科沃土沃嘉混合C,中科沃土沃盛纯债A,中科沃土沃盛纯债C",0 ,29.46,4.25
1561,12,谈云飞,海富通基金,"海富通盈鑫货币A,海富通盈鑫货币B,海富通中短债债券C,海富通中短债债券A,海富通惠睿精选混合A,海富通惠睿精选混合C,海富通强化回报混合,海富通稳健添利债券C,海富通稳健添利债券A,海富通聚利债券,海富通欣享灵活配置混合C,海富通欣享灵活配置混合A,海富通货币A,海富通货币B",7 ,131.59,53.44
1562,13,陶意非,海富通基金,"海富通中证港股通科技ETF,海富通中国海外混合,海富通大中华混合(QDII)",3 ,8.55,41.95
1563,14,唐颐恒,富国基金,"富国天益价值混合C,富国天益价值混合A",2 ,134.33,111.74
1564,15,田彧龙,交银施罗德基金,"交银科锐科技创新混合,交银产业机遇混合,交银新生活力灵活配置混合,交银数据产业灵活配置混合",2 ,190.55,190.87
1565,16,田元强,平安基金,"平安日增利货币A,平安惠金定开债A,平安交易型货币A,平安惠利纯债,平安合信定开债,平安合瑞定开债,平安合锦定开债,平安惠金定开债C,平安3-5年政策性金融债A,平安3-5年政策性金融债C,平安惠铭纯债,平安日增利货币B,平安合进1年定开债发起式,平安惠信3个月定开债A,平安惠信3个月定开债C,平安交易型货币E",3 ,1635.7,13.4
1566,17,田元泉,建信基金,"建信新能源行业股票,建信智能汽车股票",1 ,28.57,181.4
1567,18,提云涛,中信保诚基金,"信诚新选混合A,信诚新选混合B,信诚至选混合A,信诚至选混合C,信诚至瑞灵活配置A,信诚至瑞灵活配置C,信诚量化阿尔法股票A,中信保诚红利精选混合A,中信保诚红利精选混合C,信诚量化阿尔法股票C,信诚新旺混合(LOF)A,信诚新旺混合(LOF)C",6 ,46.83,83.76
1568,19,唐钰蔚,光大保德信基金管理,"光大永鑫混合A,光大永鑫混合C,光大裕鑫混合A,光大裕鑫混合C",0 ,15.12,0.61
1569,20,田钊,中科沃土基金,"中科沃土货币A,中科沃土货币B,中科沃土沃安中短利率A,中科沃土沃盛纯债A,中科沃土沃盛纯债C,中科沃土沃安中短利率C",2 ,19.25,7.36
1570,21,滕祖光,渤海汇金,渤海汇金创新价值一年持有混合,6 ,1.34,-0.02
1571,22,谭志强,汇添富基金,"汇添富民营新动力股票,汇添富社会责任混合",6 ,18.52,77.1
1572,23,田志祥,兴证全球基金,兴全兴泰定期开放债券,1 ,30.67,4.67
1573,24,汤志彦,鹏华基金,"鹏华弘嘉混合A类,鹏华弘嘉混合C类,鹏华尊惠定期开放混合A,鹏华尊惠定期开放混合C,鹏华安和混合A,鹏华安和混合C,鹏华安庆混合A,鹏华安庆混合C,鹏华安荣混合A,鹏华安荣混合C",4 ,25.91,126.07
1574,25,王安良,江信基金,"江信同福A,江信同福C",6 ,0.43,84.53
1575,26,魏博,中欧基金,"中欧永裕混合A,中欧永裕混合C,中欧盛世成长混合(LOF)E,中欧盛世成长混合(LOF)C,中欧盛世成长混合(LOF)A",9 ,14.57,506.63
1576,27,王斌,银华基金,"银华回报定开混合,银华远见混合发起式",6 ,2.42,93.93
1577,28,魏孛,中金基金,"中金绝对收益,中金沪深300A,中金中证500A,中金中证500C,中金沪深300C,中金丰硕混合,中金金序量化蓝筹A,中金金序量化蓝筹C,中金瑞祥A,中金瑞祥C,中金优选300指数(LOF)A,中金优选300指数(LOF)C",5 ,11.7,382.02
1578,29,王斌,华安基金,"华安精致生活混合A,华安精致生活混合C,华安聚嘉精选混合A,华安聚嘉精选混合C,华安安信消费混合,华安安顺混合",3 ,113.82,333.54
1579,30,王博,南方基金,"南方科技创新混合A,南方科技创新混合C,南方成长先锋混合A,南方成长先锋混合C,南方科创板3年定开混合",2 ,194.23,158.46
1580,31,王博,安信基金,"安信鑫发优选混合A,安信鑫发优选混合C",2 ,1.19,100.5
1581,32,吴彬,华夏基金,"华夏鼎智债券A,华夏鼎智债券C,华夏鼎隆债券A,华夏鼎隆债券C,华夏鼎通债券A,华夏鼎通债券C,华夏鼎康债券A,华夏鼎康债券C,华夏鼎略债券A,华夏鼎略债券C,华夏中债3-5年政金债指数A,华夏中债3-5年政金债指数C,华夏鼎琪三个月定开债券,华夏鼎富债券A,华夏鼎富债券C",1 ,150.59,3.74
1582,33,王斌,浙商基金,"浙商科创一个月滚动持有混合A,浙商科创一个月滚动持有混合C",0 ,4.03,-0.64
1583,34,王本昌,德邦基金,"德邦民裕进取量化混合A,德邦民裕进取量化混合C,德邦量化对冲混合A,德邦量化对冲混合C,德邦创业板指数增强A,德邦创业板指数增强C,德邦上证G60综指增强A,德邦上证G60综指增强C,德邦量化优选股票(LOF)A,德邦量化优选股票(LOF)C",8 ,1.33,87.41
1584,35,吴邦栋,华泰柏瑞基金,"华泰柏瑞创新动力混合,华泰柏瑞精选回报混合,华泰柏瑞新兴产业混合A,华泰柏瑞锦瑞债券A,华泰柏瑞锦瑞债券C,华泰柏瑞新兴产业混合C,华泰柏瑞景利混合A,华泰柏瑞景利混合C,华泰柏瑞景气成长混合A,华泰柏瑞景气成长混合C",4 ,20.58,153.45
1585,36,王保合,富国基金,"富国中证国企一带一路ETF联接A,富国中证国企一带一路ETF联接C,富国中证军工指数(LOF)C,富国中证全指证券公司指数(LOF)C,富国创业板指数(LOF)C,富国上证指数ETF联接C,富国中证银行指数(LOF)C,富国上证指数ETF联接A,富国创业板指数(LOF)A,富国中证军工指数(LOF)A,富国中证移动互联网指数(LOF),富国中证国有企业改革指数,富国中证全指证券公司指数(LOF)A,富国中证银行指数(LOF)A,富国新兴成长量化精选混合,上证综指ETF,富国中证国企一带一路ETF",11 ,195.74,108.12
1586,37,吴博俊,诺安基金,"诺安优势行业混合A,诺安进取回报混合,诺安优势行业混合C,诺安优化配置混合",7 ,1.33,46.06
1587,38,王博强,泰信基金,"泰信景气驱动12个月持有混合A,泰信景气驱动12个月持有混合C,泰信先行策略混合,泰信现代服务业混合",7 ,12.36,136.96
1588,39,吴秉韬,泰信基金,泰信国策驱动灵活配置混合,2 ,1.3,303.01
1589,40,王超,融通基金,"融通增强收益债券A,融通四季添利债券(LOF)C,融通增强收益债券C,融通增益债券A/B,融通增益债券C,融通通优债券,融通稳健增长一年持有期混合A,融通稳健增长一年持有期混合C,融通债券A/B,融通易支付货币A,融通四季添利债券(LOF)A,融通易支付货币B,融通岁岁添利定开债A,融通岁岁添利定开债B,融通债券C,融通易支付货币E",8 ,598.21,53.49
1590,41,王春,华安基金,"华安金享混合,华安宏利混合,华安智增精选混合",11 ,32.19,222.67
1591,42,王超,招商基金,"招商沪港深科技创新混合A,招商MSCI中国A股国际ETF联接A,招商MSCI中国A股国际ETF联接C,招商沪港深科技创新混合C,招商港股通核心精选股票A,招商港股通核心精选股票C,招商MSCI中国A股国际通ETF",8 ,22.29,35.16
1592,43,王崇,交银施罗德基金,"交银瑞丰三年封闭混合,交银精选混合,交银新成长混合",7 ,347.5,414.89
1593,44,吴超,太平基金,"太平日日金货币A,太平日日金货币B,太平日日鑫货币A,太平日日鑫货币B,太平睿盈混合A,太平恒安三个月定开债,太平睿盈混合C,太平中债1-3年政策性金融债A,太平中债1-3年政策性金融债C,太平恒泽63个月定开,太平恒久纯债,太平丰泰一年定开债券发起式,太平睿享混合A,太平睿享混合C",4 ,210.19,37.55
1594,45,魏淳,前海开源基金,"前海开源沪港深汇鑫混合A,前海开源沪港深汇鑫混合C,前海开源沪港深智慧生活混合,前海开源人工智能主题混合,前海开源沪港深新硬件A,前海开源沪港深新硬件C,前海开源盛鑫混合A,前海开源盛鑫混合C",3 ,18.21,159.5
1595,46,王成,易方达基金,"易方达丰华债券A,易方达丰华债券C,易方达悦享一年持有混合A,易方达悦享一年持有混合C,易方达悦盈一年持有混合A,易方达悦盈一年持有混合C,易方达悦弘一年持有期混合A,易方达悦弘一年持有期混合C,易方达悦信一年持有混合A,易方达悦信一年持有混合C,易方达悦夏一年持有混合A,易方达悦夏一年持有混合C,易方达悦丰一年持有期混合A,易方达悦丰一年持有期混合C",2 ,518.69,32.77
1596,47,吴承根,中庚基金,中庚价值灵动灵活配置混合,1 ,20.83,84.28
1597,48,王昌俊,天弘基金,"天弘余额宝货币,天弘信利债券A,天弘信利债券C,天弘尊享定开债发起式,天弘悦享定开债券,天弘弘择短债A,天弘弘择短债C,天弘增利短债A,天弘增利短债C,天弘智荟6个月持有期债券A,天弘智荟6个月持有期债券C,天弘荣创一年持有期混合,天弘安怡30天滚动持有短债",3 ,8068.71,13.23
1598,49,王创练,诺安基金,"诺安安鑫灵活配置混合,诺安研究优选混合,诺安价值增长混合,诺安研究精选股票",6 ,30.11,153.25
1599,50,王超伟,达诚基金管理,"达诚成长先锋混合A,达诚成长先锋混合C,达诚策略先锋混合A,达诚策略先锋混合C,达诚价值先锋灵活配置A,达诚价值先锋灵活配置C",4 ,5.54,18.21
1600,1,邬传雁,泓德基金,"泓德远见回报混合,泓德致远混合A,泓德致远混合C,泓德臻远回报混合,泓德丰润三年持有期混合,泓德卓远混合A,泓德卓远混合C,泓德三年封闭丰泽混合",6 ,432.7,198.82
1601,2,闻晨雨,方正富邦基金,"方正富邦信泓混合A,方正富邦信泓混合C,方正富邦ESG主题投资混合A,方正富邦ESG主题投资混合C,方正富邦策略精选A,方正富邦策略精选C",2 ,9.55,32.53
1602,3,吴达,长盛基金,"长盛转型升级主题灵活配置混合,长盛沪港深混合,长盛龙头双核驱动混合,长盛研发回报混合,长盛成长精选混合A,长盛成长精选混合C,长盛环球行业混合(QDII)",13 ,15.84,146.87
